Order,Yr Sold,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,SalePrice,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Mo Sold,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Open Porch SF,Foundation,Bsmt Qual,Wood Deck SF,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Fireplace Qu,Garage Yr Blt,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Type,Garage Finish,Has_Garage,Garage_Type_Encoded
11,2010,60,RL,75.0,10000,Pave,175900,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,4,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,84,PConc,Gd,157,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Gd,TA,1993.0,763,892,0,1655,0.0,0.0,2,1,3,1,TA,7,Typ,Attchd,Fin,1,1
12,2010,20,RL,,7980,Pave,185000,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,3,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,21,PConc,Gd,483,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,,1992.0,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,Attchd,Fin,1,1
13,2010,60,RL,63.0,8402,Pave,180400,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,5,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,75,PConc,Gd,0,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Gd,Gd,1998.0,789,676,0,1465,0.0,0.0,2,1,3,1,TA,7,Typ,Attchd,Fin,1,1
14,2010,20,RL,85.0,10176,Pave,171500,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,2,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,0,PConc,Gd,192,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Gd,Po,1990.0,1341,0,0,1341,1.0,0.0,1,1,2,1,Gd,5,Typ,Attchd,Unf,1,1
15,2010,120,RL,,6820,Pave,212000,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,6,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,54,PConc,Gd,0,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,TA,,1985.0,1502,0,0,1502,1.0,0.0,1,1,1,1,Gd,4,Typ,Attchd,RFn,1,1
16,2010,60,RL,47.0,53504,Pave,538000,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,6,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Ex,36,PConc,Gd,503,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Ex,Gd,2003.0,1690,1589,0,3279,1.0,0.0,3,1,4,1,Ex,12,Mod,BuiltIn,Fin,1,3
17,2010,50,RL,152.0,12134,Pave,164000,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,6,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,12,Wood,Gd,325,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Gd,,1988.0,1080,672,0,1752,0.0,0.0,2,0,4,1,TA,8,Typ,Basment,RFn,1,2
18,2010,20,RL,88.0,11394,Pave,394432,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,6,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,0,PConc,Ex,113,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Ex,Ex,2010.0,1856,0,0,1856,1.0,0.0,1,1,1,1,Ex,8,Typ,Attchd,Fin,1,1
19,2010,20,RL,140.0,19138,Pave,141000,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,6,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,0,CBlock,TA,0,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Ex,,1951.0,864,0,0,864,0.0,0.0,1,0,2,1,TA,4,Typ,Detchd,Unf,1,5
20,2010,20,RL,85.0,13175,Pave,210000,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,2,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,0,CBlock,Gd,349,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,TA,TA,1978.0,2073,0,0,2073,1.0,0.0,2,0,3,1,TA,7,Min1,Attchd,Unf,1,1
21,2010,20,RL,105.0,11751,Pave,190000,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,122,CBlock,Gd,0,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,TA,1977.0,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,Attchd,RFn,1,1
22,2010,85,RL,85.0,10625,Pave,170000,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,120,CBlock,Gd,0,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,TA,TA,1974.0,1173,0,0,1173,1.0,0.0,2,0,3,1,Gd,6,Typ,Attchd,RFn,1,1
23,2010,60,FV,,7500,Pave,216000,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,96,PConc,Gd,0,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Ex,,2000.0,814,860,0,1674,1.0,0.0,2,1,3,1,Gd,7,Typ,Attchd,RFn,1,1
24,2010,20,RL,,11241,Pave,149000,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,3,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,0,CBlock,TA,0,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,TA,1970.0,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,Attchd,Fin,1,1
25,2010,20,RL,,12537,Pave,149900,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,4,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,0,CBlock,TA,0,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Ex,Fa,1971.0,1078,0,0,1078,1.0,0.0,1,1,3,1,TA,6,Typ,Attchd,Fin,1,1
26,2010,20,RL,65.0,8450,Pave,142000,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,7,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,85,CBlock,TA,0,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Fa,1968.0,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,6,Typ,Attchd,Unf,1,1
27,2010,20,RL,70.0,8400,Pave,126000,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,4,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,,0.0,TA,0,CBlock,TA,240,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,,1970.0,882,0,0,882,1.0,0.0,1,0,2,1,TA,4,Typ,Attchd,Fin,1,1
28,2010,20,RL,70.0,10500,Pave,115000,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,4,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,0,CBlock,TA,0,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,TA,Po,,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,NoGarage,,0,6
29,2010,120,RH,26.0,5858,Pave,184000,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,6,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,,0.0,Gd,68,PConc,Gd,203,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Fa,1999.0,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,Attchd,Fin,1,1
30,2010,160,RM,21.0,1680,Pave,96000,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,2,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,0,CBlock,TA,275,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,,1971.0,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,Detchd,Unf,1,5
31,2010,160,RM,21.0,1680,Pave,105500,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,3,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,0,CBlock,TA,0,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,,1997.0,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,Detchd,Unf,1,5
32,2010,160,RM,21.0,1680,Pave,88000,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,3,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,0,CBlock,TA,0,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,TA,,1971.0,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,Detchd,Unf,1,5
33,2010,120,RL,53.0,4043,Pave,127500,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,7,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,,0.0,TA,55,CBlock,Gd,0,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,TA,Fa,1977.0,1069,0,0,1069,0.0,0.0,2,0,2,1,TA,4,Typ,Attchd,RFn,1,1
34,2010,160,RL,24.0,2280,Pave,149900,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,6,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0.0,TA,0,CBlock,TA,173,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,TA,1975.0,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,Typ,Attchd,Unf,1,1
35,2010,120,RL,24.0,2280,Pave,120000,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,6,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0.0,TA,30,CBlock,Gd,0,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,,1975.0,836,0,0,836,0.0,0.0,1,0,2,1,TA,4,Typ,Attchd,Unf,1,1
36,2010,160,RL,24.0,2280,Pave,146000,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,7,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,,0.0,TA,0,CBlock,Gd,26,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,Fa,TA,1978.0,855,601,0,1456,0.0,0.0,2,1,3,1,TA,7,Typ,Attchd,Unf,1,1
37,2010,60,RL,102.0,12858,Pave,376162,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,133,PConc,Ex,144,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Gd,2009.0,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,Typ,Attchd,Fin,1,1
38,2010,20,RL,98.0,11478,Pave,306000,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,5,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,50,PConc,Ex,0,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Gd,2008.0,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,Attchd,RFn,1,1
39,2010,20,RL,83.0,10159,Pave,395192,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,4,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,Ex,95,PConc,Ex,168,Av,GLQ,1646.0,Unf,0.0,284.0,1930.0,GasA,Ex,Gd,2010.0,1940,0,0,1940,1.0,0.0,2,1,3,1,Ex,8,Typ,Attchd,Fin,1,1
40,2010,20,RL,94.0,12883,Pave,290941,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,6,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,35,PConc,Gd,0,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Ex,,2009.0,1544,0,0,1544,0.0,0.0,2,0,3,1,Gd,7,Typ,Attchd,RFn,1,1
41,2010,20,RL,95.0,12182,Pave,220000,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,5,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,70,PConc,Gd,0,Mn,BLQ,1201.0,Unf,0.0,340.0,1541.0,GasA,Ex,Gd,2005.0,1541,0,0,1541,0.0,0.0,2,0,3,1,Gd,7,Typ,Attchd,RFn,1,1
42,2010,20,RL,90.0,11520,Pave,275000,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,6,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,74,PConc,Ex,192,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,Gd,2005.0,1698,0,0,1698,0.0,0.0,2,0,3,1,Ex,7,Typ,Attchd,Fin,1,1
43,2010,20,RL,79.0,14122,Pave,259000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,2,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,119,PConc,Ex,0,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,GasA,Ex,Gd,2005.0,1822,0,0,1822,0.0,0.0,2,0,3,1,Ex,8,Typ,Attchd,RFn,1,1
44,2010,20,RL,70.0,10171,Pave,214000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,3,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,Gd,0,PConc,Gd,0,No,GLQ,2.0,Unf,0.0,1515.0,1517.0,GasA,Ex,,2004.0,1535,0,0,1535,0.0,0.0,2,0,3,1,Gd,7,Typ,Attchd,RFn,1,1
45,2010,20,RL,100.0,12919,Pave,611657,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,3,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,Ex,67,PConc,Ex,0,Gd,GLQ,2188.0,Unf,0.0,142.0,2330.0,GasA,Ex,Gd,2009.0,2364,0,0,2364,1.0,0.0,2,1,2,1,Ex,11,Typ,Attchd,Fin,1,1
46,2010,120,RL,44.0,6371,Pave,224000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,6,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,Gd,35,PConc,Gd,192,Mn,GLQ,733.0,Unf,0.0,625.0,1358.0,GasA,Ex,Gd,2010.0,1358,0,0,1358,1.0,0.0,2,0,2,1,Gd,6,Typ,Attchd,RFn,1,1
47,2010,20,RL,110.0,14300,Pave,500000,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,6,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,150,PConc,Ex,220,Gd,GLQ,1373.0,Unf,0.0,1473.0,2846.0,GasA,Ex,Gd,2003.0,2696,0,0,2696,1.0,0.0,2,1,3,1,Ex,10,Typ,Attchd,Fin,1,1
48,2010,60,RL,105.0,13650,Pave,320000,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,6,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,130,PConc,Gd,238,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,GasA,Ex,Ex,2002.0,1687,563,0,2250,1.0,0.0,2,1,3,1,Gd,7,Typ,Attchd,Fin,1,1
49,2010,120,RL,61.0,7658,Pave,319900,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,2,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,82,PConc,Ex,196,No,GLQ,456.0,Unf,0.0,1296.0,1752.0,GasA,Ex,Gd,2005.0,1752,0,0,1752,1.0,0.0,2,0,2,1,Ex,6,Typ,Attchd,RFn,1,1
50,2010,120,RL,41.0,7132,Pave,205000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,4,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,49,PConc,Gd,120,Mn,GLQ,24.0,Unf,0.0,1346.0,1370.0,GasA,Ex,Gd,2006.0,1370,0,0,1370,0.0,0.0,2,0,2,1,Gd,6,Typ,Attchd,RFn,1,1
51,2010,160,RL,36.0,2628,Pave,175500,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,6,Twnhs,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,27,PConc,Gd,0,No,Unf,0.0,Unf,0.0,764.0,764.0,GasA,Ex,,2003.0,764,862,0,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,BuiltIn,RFn,1,3
52,2010,20,RL,100.0,18494,Pave,199500,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,23,PConc,Gd,36,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,,2005.0,1324,0,0,1324,0.0,0.0,2,0,3,1,Gd,6,Typ,Attchd,Fin,1,1
53,2010,120,RL,43.0,3203,Pave,160000,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,1,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,116,PConc,Gd,100,Av,GLQ,16.0,Unf,0.0,1129.0,1145.0,GasA,Ex,,2006.0,1145,0,0,1145,0.0,0.0,2,0,2,1,Gd,6,Typ,Attchd,Fin,1,1
54,2010,120,RL,43.0,3182,Pave,192000,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,4,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,20,PConc,Gd,146,No,GLQ,24.0,Unf,0.0,1232.0,1256.0,GasA,Ex,TA,2004.0,1269,0,0,1269,0.0,0.0,2,0,2,1,Gd,6,Typ,Attchd,Fin,1,1
55,2010,80,RL,67.0,13300,Pave,184500,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,0,PConc,Gd,100,No,GLQ,326.0,Unf,0.0,58.0,384.0,GasA,Ex,Gd,2004.0,744,630,0,1374,1.0,0.0,2,1,3,1,Gd,7,Typ,BuiltIn,Fin,1,3
56,2010,60,RL,,7851,Pave,216500,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,5,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,,Gd,48,PConc,Gd,288,No,GLQ,625.0,Unf,0.0,235.0,860.0,GasA,Ex,TA,2002.0,860,1100,0,1960,1.0,0.0,2,1,4,1,Gd,8,Typ,BuiltIn,Fin,1,3
57,2010,60,RL,63.0,8577,Pave,185088,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,4,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,48,PConc,Gd,144,No,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Gd,2004.0,847,886,0,1733,0.0,0.0,2,1,3,1,Gd,7,Typ,BuiltIn,Fin,1,3
58,2010,80,RL,,7750,Pave,180000,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,4,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,0,PConc,Gd,180,No,GLQ,250.0,Unf,0.0,134.0,384.0,GasA,Ex,TA,2000.0,774,656,0,1430,0.0,0.0,2,1,3,1,TA,7,Typ,BuiltIn,Fin,1,3
59,2010,60,RL,,9505,Pave,222500,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,5,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,48,PConc,Gd,144,No,Unf,0.0,Unf,0.0,884.0,884.0,GasA,Ex,Gd,2001.0,884,1151,0,2035,0.0,0.0,2,1,3,1,Gd,8,Typ,BuiltIn,Fin,1,3
60,2010,60,RL,108.0,14774,Pave,333168,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,5,1Fam,2Story,9,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,165.0,Gd,30,PConc,Gd,668,No,Unf,0.0,Unf,0.0,1393.0,1393.0,GasA,Ex,TA,1999.0,1422,1177,0,2599,0.0,0.0,2,1,4,1,Gd,10,Typ,BuiltIn,Fin,1,3
