Order,Yr Sold,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,SalePrice,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Mo Sold,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Open Porch SF,Foundation,Bsmt Qual,Wood Deck SF,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Fireplace Qu,Garage Yr Blt,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Type,Garage Finish
11,2010,60,RL,75,10000,Pave,175900,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,4,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,TA,84,PConc,Gd,157,No,Unf,0,Unf,0,763,763,GasA,Gd,TA,1993,763,892,0,1655,0,0,2,1,3,1,TA,7,Typ,Attchd,Fin
12,2010,20,RL,,7980,Pave,185000,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,3,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,TA,21,PConc,Gd,483,No,ALQ,935,Unf,0,233,1168,GasA,Ex,NA,1992,1187,0,0,1187,1,0,2,0,3,1,TA,6,Typ,Attchd,Fin
13,2010,60,RL,63,8402,Pave,180400,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,5,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,75,PConc,Gd,0,No,Unf,0,Unf,0,789,789,GasA,Gd,Gd,1998,789,676,0,1465,0,0,2,1,3,1,TA,7,Typ,Attchd,Fin
14,2010,20,RL,85,10176,Pave,171500,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,2,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,0,PConc,Gd,192,Gd,GLQ,637,Unf,0,663,1300,GasA,Gd,Po,1990,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,Attchd,Unf
15,2010,120,RL,,6820,Pave,212000,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,6,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,54,PConc,Gd,0,Av,GLQ,368,BLQ,1120,0,1488,GasA,TA,NA,1985,1502,0,0,1502,1,0,1,1,1,1,Gd,4,Typ,Attchd,RFn
16,2010,60,RL,47,53504,Pave,538000,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,6,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603,Ex,36,PConc,Gd,503,Gd,ALQ,1416,Unf,0,234,1650,GasA,Ex,Gd,2003,1690,1589,0,3279,1,0,3,1,4,1,Ex,12,Mod,BuiltIn,Fin
17,2010,50,RL,152,12134,Pave,164000,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,6,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,12,Wood,Gd,325,Av,GLQ,427,Unf,0,132,559,GasA,Gd,NA,1988,1080,672,0,1752,0,0,2,0,4,1,TA,8,Typ,Basment,RFn
18,2010,20,RL,88,11394,Pave,394432,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,6,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Gd,0,PConc,Ex,113,Av,GLQ,1445,Unf,0,411,1856,GasA,Ex,Ex,2010,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,Attchd,Fin
19,2010,20,RL,140,19138,Pave,141000,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,6,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,CBlock,TA,0,No,LwQ,120,Unf,0,744,864,GasA,Ex,NA,1951,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,Detchd,Unf
20,2010,20,RL,85,13175,Pave,210000,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,2,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,TA,0,CBlock,Gd,349,No,ALQ,790,Rec,163,589,1542,GasA,TA,TA,1978,2073,0,0,2073,1,0,2,0,3,1,TA,7,Min1,Attchd,Unf
21,2010,20,RL,105,11751,Pave,190000,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,TA,122,CBlock,Gd,0,No,BLQ,705,Unf,0,1139,1844,GasA,Ex,TA,1977,1844,0,0,1844,0,0,2,0,3,1,TA,7,Typ,Attchd,RFn
22,2010,85,RL,85,10625,Pave,170000,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,TA,120,CBlock,Gd,0,Gd,GLQ,885,LwQ,168,0,1053,GasA,TA,TA,1974,1173,0,0,1173,1,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
23,2010,60,FV,,7500,Pave,216000,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,96,PConc,Gd,0,No,GLQ,533,Unf,0,281,814,GasA,Ex,NA,2000,814,860,0,1674,1,0,2,1,3,1,Gd,7,Typ,Attchd,RFn
24,2010,20,RL,,11241,Pave,149000,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,3,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,0,CBlock,TA,0,No,ALQ,578,Unf,0,426,1004,GasA,Ex,TA,1970,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,Attchd,Fin
25,2010,20,RL,,12537,Pave,149900,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,4,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,CBlock,TA,0,No,GLQ,734,Unf,0,344,1078,GasA,Ex,Fa,1971,1078,0,0,1078,1,0,1,1,3,1,TA,6,Typ,Attchd,Fin
26,2010,20,RL,65,8450,Pave,142000,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,7,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,TA,85,CBlock,TA,0,No,BLQ,775,Unf,0,281,1056,GasA,Ex,Fa,1968,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,Attchd,Unf
27,2010,20,RL,70,8400,Pave,126000,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,4,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,TA,0,CBlock,TA,240,No,ALQ,804,Rec,78,0,882,GasA,TA,NA,1970,882,0,0,882,1,0,1,0,2,1,TA,4,Typ,Attchd,Fin
28,2010,20,RL,70,10500,Pave,115000,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,4,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0,TA,0,CBlock,TA,0,No,ALQ,432,Unf,0,432,864,GasA,TA,Po,,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,NA,NA
29,2010,120,RH,26,5858,Pave,184000,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,6,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,68,PConc,Gd,203,No,GLQ,1051,BLQ,0,354,1405,GasA,Ex,Fa,1999,1337,0,0,1337,1,0,2,0,2,1,Gd,5,Typ,Attchd,Fin
30,2010,160,RM,21,1680,Pave,96000,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,2,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,TA,0,CBlock,TA,275,No,Rec,156,Unf,0,327,483,GasA,TA,NA,1971,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,Detchd,Unf
31,2010,160,RM,21,1680,Pave,105500,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,3,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,0,CBlock,TA,0,No,Rec,300,Unf,0,225,525,GasA,TA,NA,1997,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,Detchd,Unf
32,2010,160,RM,21,1680,Pave,88000,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,3,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,TA,0,CBlock,TA,0,No,Unf,0,Unf,0,525,525,GasA,TA,NA,1971,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,Detchd,Unf
33,2010,120,RL,53,4043,Pave,127500,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,7,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,TA,55,CBlock,Gd,0,No,ALQ,360,Unf,0,709,1069,GasA,TA,Fa,1977,1069,0,0,1069,0,0,2,0,2,1,TA,4,Typ,Attchd,RFn
34,2010,160,RL,24,2280,Pave,149900,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,6,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,0,CBlock,TA,173,No,ALQ,514,Unf,0,341,855,GasA,TA,TA,1975,855,601,0,1456,0,0,2,1,3,1,Gd,6,Typ,Attchd,Unf
35,2010,120,RL,24,2280,Pave,120000,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,6,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,30,CBlock,Gd,0,No,Unf,0,Unf,0,836,836,GasA,Ex,NA,1975,836,0,0,836,0,0,1,0,2,1,TA,4,Typ,Attchd,Unf
36,2010,160,RL,24,2280,Pave,146000,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,7,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,0,CBlock,Gd,26,No,ALQ,311,Unf,0,544,855,GasA,Fa,TA,1978,855,601,0,1456,0,0,2,1,3,1,TA,7,Typ,Attchd,Unf
37,2010,60,RL,102,12858,Pave,376162,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,133,PConc,Ex,144,No,Unf,0,Unf,0,1590,1590,GasA,Ex,Gd,2009,1627,707,0,2334,0,0,2,1,3,1,Ex,10,Typ,Attchd,Fin
38,2010,20,RL,98,11478,Pave,306000,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,5,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,50,PConc,Ex,0,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Gd,2008,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,Attchd,RFn
39,2010,20,RL,83,10159,Pave,395192,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,4,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450,Ex,95,PConc,Ex,168,Av,GLQ,1646,Unf,0,284,1930,GasA,Ex,Gd,2010,1940,0,0,1940,1,0,2,1,3,1,Ex,8,Typ,Attchd,Fin
40,2010,20,RL,94,12883,Pave,290941,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,6,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Gd,35,PConc,Gd,0,No,Unf,0,Unf,0,1544,1544,GasA,Ex,NA,2009,1544,0,0,1544,0,0,2,0,3,1,Gd,7,Typ,Attchd,RFn
41,2010,20,RL,95,12182,Pave,220000,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,5,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Gd,70,PConc,Gd,0,Mn,BLQ,1201,Unf,0,340,1541,GasA,Ex,Gd,2005,1541,0,0,1541,0,0,2,0,3,1,Gd,7,Typ,Attchd,RFn
42,2010,20,RL,90,11520,Pave,275000,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,6,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Gd,74,PConc,Ex,192,No,GLQ,110,Unf,0,1588,1698,GasA,Ex,Gd,2005,1698,0,0,1698,0,0,2,0,3,1,Ex,7,Typ,Attchd,Fin
43,2010,20,RL,79,14122,Pave,259000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,2,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Gd,119,PConc,Ex,0,No,GLQ,28,Unf,0,1794,1822,GasA,Ex,Gd,2005,1822,0,0,1822,0,0,2,0,3,1,Ex,8,Typ,Attchd,RFn
44,2010,20,RL,70,10171,Pave,214000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,3,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168,Gd,0,PConc,Gd,0,No,GLQ,2,Unf,0,1515,1517,GasA,Ex,NA,2004,1535,0,0,1535,0,0,2,0,3,1,Gd,7,Typ,Attchd,RFn
45,2010,20,RL,100,12919,Pave,611657,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,3,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760,Ex,67,PConc,Ex,0,Gd,GLQ,2188,Unf,0,142,2330,GasA,Ex,Gd,2009,2364,0,0,2364,1,0,2,1,2,1,Ex,11,Typ,Attchd,Fin
46,2010,120,RL,44,6371,Pave,224000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,6,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128,Gd,35,PConc,Gd,192,Mn,GLQ,733,Unf,0,625,1358,GasA,Ex,Gd,2010,1358,0,0,1358,1,0,2,0,2,1,Gd,6,Typ,Attchd,RFn
47,2010,20,RL,110,14300,Pave,500000,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,6,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095,Ex,150,PConc,Ex,220,Gd,GLQ,1373,Unf,0,1473,2846,GasA,Ex,Gd,2003,2696,0,0,2696,1,0,2,1,3,1,Ex,10,Typ,Attchd,Fin
48,2010,60,RL,105,13650,Pave,320000,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,6,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232,Gd,130,PConc,Gd,238,Gd,GLQ,578,Unf,0,1093,1671,GasA,Ex,Ex,2002,1687,563,0,2250,1,0,2,1,3,1,Gd,7,Typ,Attchd,Fin
49,2010,120,RL,61,7658,Pave,319900,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,2,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,82,PConc,Ex,196,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Gd,2005,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,Attchd,RFn
50,2010,120,RL,41,7132,Pave,205000,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,4,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178,Gd,49,PConc,Gd,120,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Gd,2006,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,Attchd,RFn
51,2010,160,RL,36,2628,Pave,175500,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,6,Twnhs,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106,Gd,27,PConc,Gd,0,No,Unf,0,Unf,0,764,764,GasA,Ex,NA,2003,764,862,0,1626,0,0,2,1,2,1,Gd,6,Typ,BuiltIn,RFn
52,2010,20,RL,100,18494,Pave,199500,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,23,PConc,Gd,36,No,Unf,0,Unf,0,1324,1324,GasA,Ex,NA,2005,1324,0,0,1324,0,0,2,0,3,1,Gd,6,Typ,Attchd,Fin
53,2010,120,RL,43,3203,Pave,160000,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,1,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,Gd,116,PConc,Gd,100,Av,GLQ,16,Unf,0,1129,1145,GasA,Ex,NA,2006,1145,0,0,1145,0,0,2,0,2,1,Gd,6,Typ,Attchd,Fin
54,2010,120,RL,43,3182,Pave,192000,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,4,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16,Gd,20,PConc,Gd,146,No,GLQ,24,Unf,0,1232,1256,GasA,Ex,TA,2004,1269,0,0,1269,0,0,2,0,2,1,Gd,6,Typ,Attchd,Fin
55,2010,80,RL,67,13300,Pave,184500,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,0,PConc,Gd,100,No,GLQ,326,Unf,0,58,384,GasA,Ex,Gd,2004,744,630,0,1374,1,0,2,1,3,1,Gd,7,Typ,BuiltIn,Fin
56,2010,60,RL,,7851,Pave,216500,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,5,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,,Gd,48,PConc,Gd,288,No,GLQ,625,Unf,0,235,860,GasA,Ex,TA,2002,860,1100,0,1960,1,0,2,1,4,1,Gd,8,Typ,BuiltIn,Fin
57,2010,60,RL,63,8577,Pave,185088,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,4,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,48,PConc,Gd,144,No,Unf,0,Unf,0,847,847,GasA,Ex,Gd,2004,847,886,0,1733,0,0,2,1,3,1,Gd,7,Typ,BuiltIn,Fin
58,2010,80,RL,,7750,Pave,180000,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,4,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,PConc,Gd,180,No,GLQ,250,Unf,0,134,384,GasA,Ex,TA,2000,774,656,0,1430,0,0,2,1,3,1,TA,7,Typ,BuiltIn,Fin
59,2010,60,RL,,9505,Pave,222500,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,5,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180,Gd,48,PConc,Gd,144,No,Unf,0,Unf,0,884,884,GasA,Ex,Gd,2001,884,1151,0,2035,0,0,2,1,3,1,Gd,8,Typ,BuiltIn,Fin
60,2010,60,RL,108,14774,Pave,333168,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,5,1Fam,2Story,9,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,165,Gd,30,PConc,Gd,668,No,Unf,0,Unf,0,1393,1393,GasA,Ex,TA,1999,1422,1177,0,2599,0,0,2,1,4,1,Gd,10,Typ,BuiltIn,Fin
61,2010,60,RL,60,17433,Pave,355000,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,1,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114,Gd,172,PConc,Ex,23,No,Unf,0,Unf,0,1629,1629,GasA,Ex,TA,1998,1645,830,0,2475,0,0,2,1,4,1,Gd,7,Typ,Attchd,Fin
62,2010,20,RL,59,10593,Pave,260400,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,3,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,338,Gd,56,PConc,Gd,240,No,GLQ,919,Unf,0,801,1720,GasA,Ex,TA,1996,1720,0,0,1720,1,0,2,0,3,1,Gd,7,Typ,Attchd,Fin
63,2010,60,RL,98,12256,Pave,325000,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,4,1Fam,2Story,8,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,BrkFace,362,Gd,32,PConc,Ex,186,Av,GLQ,1032,Unf,0,431,1463,GasA,Ex,TA,1994,1500,1122,0,2622,1,0,2,1,3,1,Gd,9,Typ,Attchd,RFn
64,2010,60,RL,92,11764,Pave,290000,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,4,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348,Gd,57,PConc,Gd,132,No,GLQ,524,Unf,0,628,1152,GasA,Ex,Gd,1999,1164,1106,0,2270,0,0,2,1,4,1,Gd,9,Typ,Attchd,Fin
65,2010,60,RL,58,16770,Pave,221000,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,6,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,30,Gd,81,PConc,Gd,0,No,Unf,0,Unf,0,1195,1195,GasA,Gd,NA,1998,1195,644,0,1839,0,0,2,1,4,1,TA,7,Typ,Attchd,Fin
66,2010,50,RL,56,14720,Pave,410000,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,3,1Fam,1.5Fin,8,5,1995,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,579,Gd,86,PConc,Gd,283,Av,GLQ,816,Unf,0,1217,2033,GasA,Ex,Ex,1996,2053,1185,0,3238,1,0,2,1,4,1,Gd,9,Typ,Attchd,Fin
67,2010,20,RL,73,8987,Pave,221500,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,5,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Gd,0,PConc,Gd,144,,Unf,0,Unf,0,1595,1595,GasA,Ex,Gd,2005,1595,0,0,1595,0,0,2,0,2,1,Gd,6,Typ,Attchd,RFn
